Episode,Step,Avg_Success,Avg_Reward,Avg_Cost
0,27,0,-1.181371287202835,0
1,21,0,-1.0759917308092117,0
2,41,33,-0.25457625465790423,0
3,35,25,-0.5260656879216432,0
4,34,20,-0.5165812004876136,0
5,36,16,-0.6620907015502452,0
6,32,14,-0.7029699029258317,0
7,56,12,-0.7893442388668652,0
8,52,11,-0.8329626542952322,0
9,46,20,-0.649666388865709,0
10,47,18,-0.6999003888661208,0
11,43,25,-0.5582420231272774,0
12,49,23,-0.6163391389892647,0
13,55,21,-0.7213239111057346,0
14,52,20,-0.7378631835913654,0
15,50,25,-0.597001264300942,0
16,62,23,-0.6787849404250869,0
17,64,22,-0.673113883516523,0
18,67,21,-0.7025086091719169,0
