[0.535s] Invoking command in '/root/ws/ROS2Package/build/turtlebot3_description': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --build /root/ws/ROS2Package/build/turtlebot3_description -- -j8 -l8
[0.882s] Invoked command in '/root/ws/ROS2Package/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --build /root/ws/ROS2Package/build/turtlebot3_description -- -j8 -l8
[0.931s] Invoking command in '/root/ws/ROS2Package/build/turtlebot3_description': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --install /root/ws/ROS2Package/build/turtlebot3_description
[0.947s] -- Install configuration: ""
[0.948s] -- Execute custom install script
[0.950s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.prefab
[0.950s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.prefab.meta
[0.950s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.stl
[0.950s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.stl.meta
[0.950s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_0.asset
[0.951s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_0.asset.meta
[0.951s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_1.asset
[0.951s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_1.asset.meta
[0.951s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_2.asset
[0.951s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_2.asset.meta
